都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,通称,通称_カナ,住所,方書,設置位置,緯度,経度,男性トイレ総数,男性トイレ数（小便器）,男性トイレ数（和式）,男性トイレ数（洋式）,女性トイレ総数,女性トイレ数（和式）,女性トイレ数（洋式）,男女共用トイレ総数,男女共用トイレ数（和式）,男女共用トイレ数（洋式）,多機能トイレ,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無,利用開始時間,利用終了時間,利用可能時間特記事項,画像,画像_ライセンス,URL,備考
131130,1,東京都,渋谷区,表参道公衆便所,オモテサンドウコウシュウベンジョ,,渋谷区立表参道ヒルズ公衆便所,シブヤクリツオモテサンドウヒルズコウシュウベンジョ,東京都渋谷区神宮前4-12-1,,,35.666788,139.709628,4,3,,1,1,,1,,,,有,,,,,,,,,"https://www.google.com/maps/place/%E8%A1%A8%E5%8F%82%E9%81%93%E3%83%92%E3%83%AB%E3%82%BA%E5%85%AC%E8%A1%86%E4%BE%BF%E6%89%80/@35.6668537,139.7072429,17z/data=!4m12!1m6!3m5!1s0x60188ca1bd496835:0xfa4c0b3e9091a549!2z6KGo5Y-C6YGT44OS44Or44K65YWs6KGG5L6_5omA!8m2!3d35.6668537!4d139.7094316!3m4!1s0x60188ca1bd496835:0xfa4c0b3e9091a549!8m2!3d35.6668537!4d139.7094316",
131130,2,東京都,渋谷区,渋谷駅東口公衆便所（仮設）,シブヤエキヒガシグチコウシュウベンジョ（カセツ）,,,,東京都渋谷区渋谷2-23,,,35.659253,139.7018599,1,1,,,,,,,,,有,,,,,,,,,"https://www.google.com/maps/place/%E6%B8%8B%E8%B0%B7%E9%A7%85%E6%9D%B1%E5%8F%A3%E5%85%AC%E8%A1%86%E3%83%88%E3%82%A4%E3%83%AC/@35.6606387,139.7042647,17z/data=!4m12!1m6!3m5!1s0x60188b7ef4815845:0x710c9f837ff9e97e!2z5riL6LC36aeF5p2x5Y-j5YWs6KGG44OI44Kk44Os!8m2!3d35.6606387!4d139.7064532!3m4!1s0x60188b7ef4815845:0x710c9f837ff9e97e!8m2!3d35.6606387!4d139.7064532",
131130,3,東京都,渋谷区,渋谷駅西口公衆便所（仮設）,シブヤエキニシグチコウシュウベンジョ（カセツ）,,,,東京都渋谷区道玄坂1-1-1,,,35.658455,139.701276,2,1,,1,,,,,,,有,,,,,,,,,"https://www.google.com/maps/place/%E6%B8%8B%E8%B0%B7%E9%A7%85%E8%A5%BF%E5%8F%A3%E5%85%AC%E8%A1%86%E4%BE%BF%E6%89%80/@35.6586567,139.6990003,17z/data=!4m8!1m2!2m1!1z5riL6LC36aeF6KW_5Y-j5YWs6KGG5L6_5omA!3m4!1s0x60188b582ac86015:0x6f4bab88632c40ed!8m2!3d35.6586524!4d139.701189",
131130,4,東京都,渋谷区,西参道公衆便所,ニシサンドウコウシュウベンジョ,,,,東京都渋谷区代々木3-27-1,,,35.683941,139.691598,4,3,1,,2,2,,,,,,,,,,,,,,"https://www.google.com/maps/place/%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%AB%8B%E8%A5%BF%E5%8F%82%E9%81%93%E5%85%AC%E8%A1%86%E4%BE%BF%E6%89%80/@35.6838015,139.6914941,17z/data=!3m1!4b1!4m5!3m4!1s0x60188cd2a97a80c3:0xe1eeacbd47ec9195!8m2!3d35.6838015!4d139.6914941",
131130,5,東京都,渋谷区,裏参道公衆便所,ウラサンドウコウシュウベンジョ,,,,東京都渋谷区千駄ヶ谷4-28-1,,,35.680439,139.703972,4,3,1,,3,3,,,,,,,,,,,,,,"https://www.google.com/maps/place/%E6%B8%8B%E8%B0%B7%E5%8C%BA%E8%A3%8F%E5%8F%82%E9%81%93%E5%85%AC%E8%A1%86%E4%BE%BF%E6%89%80/@35.6804414,139.703965,17z/data=!3m1!4b1!4m5!3m4!1s0x60188d862d9f2327:0x5e2f4fcd808140ee!8m2!3d35.6804414!4d139.703965",
131130,6,東京都,渋谷区,並木橋公衆便所,ナミキバシコウシュウベンジョ,,,,東京都渋谷区東1-27-22,,,35.654245,139.70735,2,2,,,,,,,,,有,,,,,,,,,"https://www.google.com/maps/place/%E3%80%92150-0011+%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E6%9D%B1%EF%BC%91%E4%B8%81%E7%9B%AE%EF%BC%92%EF%BC%97%E2%88%92%EF%BC%92%EF%BC%92/@35.6549627,139.706572,19z/data=!3m1!4b1!4m5!3m4!1s0x60188b5c818f8fe3:0x10d27845a1123363!8m2!3d35.6549627!4d139.706572",
131130,7,東京都,渋谷区,代々木八幡公衆便所,ヨヨギハチマンコウシュウベンジョ,,,,東京都渋谷区代々木5-1-2,,,35.671817,139.688396,3,2,,1,3,2,,,,,有,,,,,,,,,"https://www.google.com/maps/place/%E4%BB%A3%E3%80%85%E6%9C%A8%E5%85%AB%E5%B9%A1%E5%85%AC%E8%A1%86%E4%BE%BF%E6%89%80/@35.6717663,139.6861421,17z/data=!4m8!1m2!2m1!1z5Luj44CF5pyo5YWr5bmh5YWs6KGG5L6_5omA!3m4!1s0x0:0x89304e5439ee7866!8m2!3d35.6713937!4d139.6879525",
131130,8,東京都,渋谷区,千駄ヶ谷駅前公衆便所,センダガヤエキマエコウシュウベンジョ,,,,東京都渋谷区千駄ヶ谷1-35-6,,,35.681417,139.710388,6,4,1,1,3,2,1,,,,有,,,,,,,,,"https://www.google.com/maps/place/%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%AB%8B%E5%8D%83%E9%A7%84%E3%83%B6%E8%B0%B7%E9%A7%85%E5%89%8D%E5%85%AC%E8%A1%86%E4%BE%BF%E6%89%80/@35.680749,139.71211,17z/data=!3m1!4b1!4m5!3m4!1s0x60188c957a3f7807:0xbd18b639212681e7!8m2!3d35.680749!4d139.71211",
131130,9,東京都,渋谷区,神宮前公衆便所,ジングウマエコウシュウベンジョ,,,,東京都渋谷区神宮前1-3-14,,,35.67246,139.707961,3,2,,1,1,,1,,,,有,,,,,,,,,"https://www.google.com/maps/place/%E7%A5%9E%E5%AE%AE%E5%89%8D%E3%82%B7%E3%83%96%E3%83%9F%E3%83%83%E3%82%AF%E3%83%88%E3%82%A4%E3%83%AC/@35.6724342,139.705786,17z/data=!3m1!4b1!4m5!3m4!1s0x60188b578865f90d:0x335844b4fe16df9a!8m2!3d35.6724342!4d139.7079747",
131130,10,東京都,渋谷区,東三丁目公衆便所,ヒガシサンチョウメコウシュウベンジョ,,,,東京都渋谷区東3-27-1,,,35.648904,139.709203,4,3,1,,1,1,,,,,有,,,,,,,,,"https://www.google.com/maps/place/%E6%9D%B1%E4%B8%89%E4%B8%81%E7%9B%AE%E5%85%AC%E8%A1%86%E4%BE%BF%E6%89%80/@35.6489456,139.7091499,17z/data=!3m1!4b1!4m5!3m4!1s0x60188b418255db1f:0xed22cd797b494621!8m2!3d35.6489456!4d139.7091499",
